pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_massj,pl_massjerr1,pl_massjerr2,pl_masslim,pl_massn,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinilim,pl_msinin,pl_radj,pl_radjerr1,pl_radjerr2,pl_radlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr,st_tefflim,st_teffblend,st_teffn,st_mass,st_masserr,st_masslim,st_massblend,st_massn,st_rad,st_raderr,st_radlim,st_radblend,st_radn,hd_name,hip_name
HD 210277,b,Radial Velocity,1,442.10000000,0.40000000,-0.40000000,0,1,1.100000,0.020000,-0.020000,0,1,0.472000,0.011000,-0.011000,0,1,,,,,0,,,,,0,1.23000,0.03000,-0.03000,0,1,,,,,0,,,,,0,0,0,22h09m29.87s,-07d32m55.2s,332.374451,0.000002,-7.548654,0.000001,2,21.29,0.35,-0.36,0,2,6.530,,0,0,,,,,0,,,,,0,,,,,0,HD 210277,HIP 109378
HD 210702,b,Radial Velocity,1,354.80000000,1.10000000,-1.10000000,0,1,1.200000,,,0,1,0.094000,0.052000,-0.052000,0,1,,,,,0,1.90000,,,0,1,,,,,0,,,,,0,,,,,0,0,0,22h11m51.33s,+16d02m26.0s,332.963867,0.000002,16.040550,0.000002,2,55.90,2.20,-2.40,0,2,5.950,,0,0,4967.00,25.00,0,,1,1.68,0.18,0,,1,5.10,0.40,0,,1,HD 210702,HIP 109577
HD 212771,b,Radial Velocity,1,373.30000000,3.40000000,-3.40000000,0,1,1.220000,0.030000,-0.030000,0,1,0.111000,0.060000,-0.060000,0,1,,,,,0,,,,,0,2.30000,0.40000,-0.40000,0,1,,,,,0,,,,,0,0,0,22h27m03.07s,-17d15m49.2s,336.762787,0.000003,-17.263659,0.000002,2,121.80,13.93,-18.06,0,1,7.596,0.014,0,0,,,,,0,,,,,0,,,,,0,HD 212771,HIP 110813
HD 212301,b,Radial Velocity,1,2.24571500,0.00002800,-0.00002800,0,1,0.036000,,,0,1,0.000000,,,0,1,,,,,0,,,,,0,0.45000,,,0,1,,,,,0,,,,,0,0,0,22h27m30.92s,-77d43m04.5s,336.878845,0.000002,-77.717926,0.000002,2,52.72,1.95,-2.11,0,1,7.764,0.011,0,0,,,,,0,,,,,0,,,,,0,HD 212301,HIP 110852
HD 213240,b,Radial Velocity,1,951.00000000,42.00000000,-42.00000000,0,1,2.030000,,,0,1,0.450000,0.040000,-0.040000,0,1,,,,,0,,,,,0,4.50000,,,0,1,,,,,0,,,,,0,0,0,22h31m00.37s,-49d25m59.8s,337.751526,0.000002,-49.433270,0.000001,2,40.75,1.30,-1.39,0,1,6.814,0.010,0,0,,,,,0,,,,,0,,,,,0,HD 213240,HIP 111143
HD 215152,b,Radial Velocity,2,7.28250000,,,,1,0.065200,,,,1,0.340000,,,,1,,,,,0,,,,,0,0.00870,,,0,1,,,,,0,,,,,0,0,0,22h43m21.30s,-06d24m03.0s,340.838745,0.000004,-6.400821,0.000003,2,21.52,0.59,-0.62,0,1,8.130,0.015,0,0,,,,,0,,,,,0,,,,,0,HD 215152,HIP 112190
HD 215152,c,Radial Velocity,2,10.86600000,,,,1,0.085200,,,,1,0.380000,,,,1,,,,,0,,,,,0,0.00970,,,0,1,,,,,0,,,,,0,0,0,22h43m21.30s,-06d24m03.0s,340.838745,0.000004,-6.400821,0.000003,2,21.52,0.59,-0.62,0,1,8.130,0.015,0,0,,,,,0,,,,,0,,,,,0,HD 215152,HIP 112190
HD 215456,b,Radial Velocity,2,191.99000000,,,,1,0.652000,,,,1,0.150000,,,,1,,,,,0,,,,,0,0.10100,,,0,1,,,,,0,,,,,0,0,0,22h46m08.03s,-48d58m43.8s,341.533478,0.000001,-48.978821,0.000001,2,38.64,1.14,-1.22,0,1,6.629,0.010,0,0,,,,,0,,,,,0,,,,,0,HD 215456,HIP 112414
HD 215456,c,Radial Velocity,2,2277.00000000,,,,1,3.394000,,,,1,0.190000,,,,1,,,,,0,,,,,0,0.24600,,,0,1,,,,,0,,,,,0,0,0,22h46m08.03s,-48d58m43.8s,341.533478,0.000001,-48.978821,0.000001,2,38.64,1.14,-1.22,0,1,6.629,0.010,0,0,,,,,0,,,,,0,,,,,0,HD 215456,HIP 112414
HD 215497,b,Radial Velocity,2,3.93000000,,,0,1,,,,,0,,,,,0,,,,,0,,,,,0,0.01700,,,0,1,,,,,0,,,,,0,0,0,22h46m36.75s,-56d35m58.3s,341.653137,0.000002,-56.599533,0.000002,2,43.53,2.25,-2.51,0,1,8.950,0.016,0,0,,,,,0,,,,,0,,,,,0,HD 215497,HIP 112441
HD 6718,b,Radial Velocity,1,2496.00000000,,,0,1,,,,,0,,,,,0,,,,,0,,,,,0,1.65000,,,0,1,,,,,0,,,,,0,0,0,01h07m48.66s,-08d14m01.3s,16.952761,0.000003,-8.233706,0.000002,2,55.01,2.76,-3.07,0,1,8.450,0.014,0,0,,,,,0,,,,,0,,,,,0,HD 6718,HIP 5301
