rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbperlim,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxlim,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenlim,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbincllim,pl_orbinclerr1,pl_orbinclerr2,pl_massj,pl_masslim,pl_massjerr1,pl_massjerr2,pl_radj,pl_radlim,pl_radjerr1,pl_radjerr2,pl_dens,pl_denslim,pl_denserr1,pl_denserr2,pl_ttvflag,pl_kepflag,ra,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr,st_tefflim,st_teffblend,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,hd_name,hip_name,st_sp,st_spstr,st_sperr,st_splim,st_spblend,st_lum,st_lumerr,st_lumlim,st_lumblend,pl_eqt,pl_eqtlim,pl_eqterr1,pl_eqterr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_disc,pl_status
584,HD 216435,b,Radial Velocity,1,1311.00000000,0,49.00000000,-49.00000000,2.560000,0,0.170000,-0.170000,0.070000,0,0.078000,-0.078000,,,,,,,,,,,,,,,,,0,0,343.408051,-48.598286,33.29,0.79,-0.83,0,6.040,,0,0,,,,,,,,,,,,,HD 216435,HIP 113044,4.00,G0 V,,0,0,,,,,,,,,,,,,,,2002,3
585,HD 216437,b,Radial Velocity,1,1294.00000000,0,,,2.700000,0,,,0.340000,0,,,,,,,,,,,,,,,,,,,0,0,343.664520,-70.073708,26.52,0.40,-0.41,0,6.050,,0,0,,,,,,,,,,,,,HD 216437,HIP 113137,4.25,G2/3 IV,,0,0,,,,,,,,,,,,,,,2002,3
586,HD 216770,b,Radial Velocity,1,118.45000000,0,0.55000000,-0.55000000,0.460000,0,,,0.370000,0,0.060000,-0.060000,,,,,,,,,,,,,,,,,0,0,343.973785,-26.658764,37.89,1.46,-1.59,0,8.094,0.013,0,0,,,,,,,,,,,,,HD 216770,HIP 113238,5.00,K0 V,,0,0,,,,,,,,,,,,,,,2003,3
587,HD 217107,b,Radial Velocity,2,7.12681600,0,0.00003900,-0.00003900,0.074800,0,0.004300,-0.004300,0.126700,0,0.005200,-0.005200,,,,,,,,,,,,,,,,,0,0,344.564758,-2.395385,19.72,0.29,-0.30,0,6.160,,0,1,,,,,,,,,,,,,HD 217107,HIP 113421,4.80,G8 IV/V,,0,1,,,,,,,,,,,,,,,1998,3
588,HD 217107,c,Radial Velocity,2,4270.00000000,0,220.00000000,-220.00000000,5.320000,0,0.380000,-0.380000,0.517000,0,0.033000,-0.033000,,,,,,,,,,,,,,,,,0,0,344.564758,-2.395385,19.72,0.29,-0.30,0,6.160,,0,1,,,,,,,,,,,,,HD 217107,HIP 113421,4.80,G8 IV/V,,0,1,,,,,,,,,,,,,,,2005,3
589,HD 217786,b,Radial Velocity,1,1319.00000000,0,4.00000000,-4.00000000,2.380000,0,0.040000,-0.040000,0.400000,0,0.050000,-0.050000,,,,,,,,,,,,,,,,,0,0,345.784180,-0.429622,54.92,2.78,-3.09,0,7.779,0.012,0,0,,,,,,,,,,,,,HD 217786,HIP 113834,3.80,F8 V,,0,0,,,,,,,,,,,,,,,2010,3
590,HD 218566,b,Radial Velocity,1,225.70000000,0,0.40000000,-0.40000000,0.687300,0,0.000800,-0.000800,0.300000,0,0.100000,-0.100000,,,,,,,,,,,,,,,,,0,0,347.294708,-2.260742,29.94,1.03,-1.11,0,8.628,0.017,0,0,,,,,,,,,,,,,HD 218566,HIP 114322,5.30,K3 V,,0,0,,,,,,,,,,,,,,,2010,3
591,HD 219077,b,Radial Velocity,1,5501.00000000,0,130.00000000,-119.00000000,6.220000,0,0.090000,-0.090000,0.770000,0,0.003000,-0.003000,,,,,,,,,,,,,,,,,0,0,348.527435,-62.700005,,,,,6.120,,0,0,5362.00,18.00,0,0,1.05,0.02,0,0,1.91,0.03,0,0,HD 219077,HIP 114699,4.80,G8 V,,0,0,0.425,,0,0,,,,,,,,,,,2012,3
592,HD 219415,b,Radial Velocity,1,2093.30000000,0,32.70000000,-32.70000000,3.200000,0,,,0.400000,0,0.090000,-0.090000,,,,,1.00000,0,,,,,,,,,,,0,0,348.724274,56.730328,,,,,,,,,4820.00,20.00,0,,1.00,0.10,0,,2.90,0.40,0,,HD 219415,,,,,,,0.620,0.150,0,,,,,,317.81700,,,,,,2012,3
593,HD 219828,b,Radial Velocity,1,3.83350000,0,0.00130000,-0.00130000,0.052000,0,,,0.000000,0,,,,,,,,,,,,,,,,,,,0,0,349.694733,18.645720,81.10,6.14,-7.24,0,8.008,0.015,0,0,,,,,,,,,,,,,HD 219828,HIP 115100,4.00,G0,,0,0,,,,,,,,,,,,,,,2007,3
594,HD 220074,b,Radial Velocity,1,672.10000000,0,3.70000000,-3.70000000,1.600000,0,0.100000,-0.100000,0.140000,0,0.050000,-0.050000,,,,,,,,,,,,,,,,,0,0,350.059906,61.970127,290.20,45.50,-45.50,0,,,,,3935.00,110.00,0,0,1.20,0.30,0,0,49.70,9.50,0,0,HD 220074,HIP 115218,6.20,M2 III,,0,0,,,,,,,,,,,,,,,2012,3
595,HD 220689,b,Radial Velocity,1,2209.00000000,0,103.00000000,-81.00000000,3.360000,0,0.090000,-0.090000,0.160000,0,0.100000,-0.070000,,,,,,,,,,,,,,,,,0,0,351.470795,-20.616030,44.60,1.40,-1.40,0,7.758,0.012,0,0,5921.00,26.00,0,0,1.04,0.03,0,0,1.07,0.04,0,0,HD 220689,HIP 115662,4.30,G3 V,,0,0,0.093,,0,0,,,,,,,,,,,2012,3
596,HD 220773,b,Radial Velocity,1,3724.70000000,0,463.00000000,-463.00000000,4.940000,0,0.200000,-0.200000,0.510000,0,0.100000,-0.100000,,,,,,,,,,,,,,,,,0,0,351.614349,8.643845,48.43,2.32,-2.57,0,7.096,0.011,0,0,,,,,,,,,,,,,HD 220773,HIP 115697,4.00,G0,,0,0,,,,,,,,,,,,,,,2011,3
597,HD 221287,b,Radial Velocity,1,456.10000000,0,7.70000000,-5.80000000,1.250000,0,0.040000,-0.040000,0.080000,0,0.170000,-0.050000,,,,,,,,,,,,,,,,,0,0,352.834747,-58.209732,52.88,2.20,-2.40,0,7.807,0.010,0,0,,,,,,,,,,,,,HD 221287,HIP 116084,3.70,F7 V,,0,0,,,,,,,,,,,,,,,2007,3
598,HD 222155,b,Radial Velocity,1,3999.00000000,0,469.00000000,-541.00000000,5.100000,0,0.600000,-0.700000,0.160000,0,0.270000,-0.220000,,,,,,,,,,,,,,,,,0,0,354.501282,48.996521,49.10,1.50,-1.50,0,7.114,0.010,0,0,5765.00,22.00,0,0,1.13,0.11,0,0,1.67,0.07,0,0,HD 222155,HIP 116616,4.20,G2 V,,0,0,,,,,,,,,,,,,,,2011,3
599,HD 222582,b,Radial Velocity,1,572.38000000,0,0.61000000,-0.61000000,1.350000,0,0.080000,-0.080000,0.725000,0,0.012000,-0.012000,,,,,,,,,,,,,,,,,0,0,355.464722,-5.985757,41.95,1.87,-2.05,0,7.691,0.011,0,0,,,,,,,,,,,,,HD 222582,HIP 116906,4.50,G5 V,,0,0,,,,,,,,,,,,,,,1999,3
600,HD 224693,b,Radial Velocity,1,26.73000000,0,0.02000000,-0.02000000,0.233000,0,,,0.050000,0,0.030000,-0.030000,,,,,,,,,,,,,,,,,0,0,359.974304,-22.428114,94.07,9.33,-11.64,0,8.216,0.012,0,0,,,,,,,,,,,,,HD 224693,HIP 118319,4.20,G2 V,,0,0,,,,,,,,,,,,,,,2006,3
601,HD 231701,b,Radial Velocity,1,141.60000000,0,2.80000000,-2.80000000,0.530000,0,,,0.100000,0,0.080000,-0.080000,,,,,,,,,,,,,,,,,0,0,293.017334,16.474291,108.46,11.94,-15.30,0,8.970,0.015,0,0,,,,,,,,,,,,,HD 231701,HIP 96078,4.00,G0,,0,0,,,,,,,,,,,,,,,2007,3
602,HD 233604,b,Radial Velocity,1,192.00000000,0,0.22000000,-0.22000000,0.747000,0,,,0.050000,0,0.030000,-0.030000,,,,,,,,,,,,,,,,,0,0,137.453384,53.568230,,,,,,,,,4791.00,45.00,0,0,1.50,0.30,0,0,10.90,0.60,0,0,HD 233604,,5.50,K5,,0,0,1.750,0.180,0,0,,,,,,,,,,,2013,3
603,HD 240210,b,Radial Velocity,1,501.75000000,0,2.33000000,-2.33000000,1.330000,0,,,0.150000,0,0.020000,-0.020000,,,,,,,,,,,,,,,,,0,0,347.621792,57.029456,,,,,,,,,,,,,,,,,,,,,HD 240210,,,,,,,,,,,,,,,,,,,,,2009,3
