rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbperlim,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxlim,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenlim,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbincllim,pl_orbinclerr1,pl_orbinclerr2,pl_massj,pl_masslim,pl_massjerr1,pl_massjerr2,pl_radj,pl_radlim,pl_radjerr1,pl_radjerr2,pl_dens,pl_denslim,pl_denserr1,pl_denserr2,pl_ttvflag,pl_kepflag,ra,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr,st_tefflim,st_teffblend,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,hd_name,hip_name,st_sp,st_spstr,st_sperr,st_splim,st_spblend,st_lum,st_lumerr,st_lumlim,st_lumblend,pl_eqt,pl_eqtlim,pl_eqterr1,pl_eqterr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_disc,pl_status
158,HAT-P-14,b,Transit,1,4.62766900,0,0.00000500,-0.00000500,0.060600,0,0.000700,-0.000700,0.107000,0,0.013000,-0.013000,83.500,0,0.300,-0.300,2.23200,0,0.05900,-0.05900,1.150,0,0.052,-0.052,1.82000,0,0.24000,-0.24000,0,0,260.116180,38.242165,205.00,11.00,-11.00,0,,,,,6600.00,90.00,0,,1.39,0.04,0,,1.47,0.05,0,,,,,,,,,0.563,0.046,0,,,,,,709.36700,18.75120,-18.75120,12.890,0.583,-0.583,2010,3
159,HAT-P-15,b,Transit,1,10.86350200,0,0.00002700,-0.00002700,0.096400,0,0.001400,-0.001400,0.190000,0,0.019000,-0.019000,89.100,0,0.200,-0.200,1.94600,0,0.06600,-0.06600,1.072,0,0.043,-0.043,1.96000,0,0.22000,-0.22000,0,0,66.248024,39.460636,190.00,8.00,-8.00,0,,,,,5568.00,90.00,0,,1.01,0.04,0,,1.08,0.04,0,,,,,,,,,0.000,0.050,0,,,,,,618.47100,20.97590,-20.97590,12.016,0.482,-0.482,2010,3
160,HAT-P-16,b,Transit,1,2.77596000,0,0.00000300,-0.00000300,0.041300,0,0.000400,-0.000400,0.036000,0,0.004000,-0.004000,86.600,0,0.700,-0.700,4.19300,0,0.09400,-0.09400,1.289,0,0.066,-0.066,2.42000,0,0.35000,-0.35000,0,0,9.573181,42.463078,235.00,10.00,-10.00,0,,,,,6158.00,80.00,0,,1.22,0.04,0,,1.24,0.05,0,,,,,,,,,0.294,0.051,0,,1626,0,40,-40,1332.60500,29.87500,-29.87500,14.448,0.740,-0.740,2010,3
161,HAT-P-17,b,Transit,2,10.33852300,0,0.00000900,-0.00000900,0.088200,0,0.001400,-0.001400,0.342000,0,0.006000,-0.006000,89.200,0,0.200,-0.100,0.53400,0,0.01800,-0.01800,1.010,0,0.029,-0.029,0.64000,0,0.05000,-0.05000,0,0,324.536407,30.488716,90.00,3.00,-3.00,0,,,,,5246.00,80.00,0,,0.86,0.04,0,,0.84,0.02,0,,,,,,,,,-0.319,0.038,0,,792,0,15,-15,169.71000,5.72000,-5.72000,11.321,0.325,-0.325,2010,3
162,HAT-P-17,c,Radial Velocity,2,5584.00000000,0,7700.00000000,-2100.00000000,5.600000,0,3.500000,-1.400000,0.390000,0,0.230000,-0.170000,,,,,,,,,,,,,,,,,0,0,324.536407,30.488716,90.00,3.00,-3.00,0,,,,,5246.00,80.00,0,,0.86,0.04,0,,0.84,0.02,0,,,,,,,,,-0.319,0.038,0,,,,,,,,,,,,2010,3
163,HAT-P-18,b,Transit,1,5.50802300,0,0.00000600,-0.00000600,0.055900,0,0.000700,-0.000700,0.084000,0,0.048000,-0.048000,88.800,0,0.300,-0.300,0.19700,0,0.01300,-0.01300,0.995,0,0.052,-0.052,0.25000,0,0.04000,-0.04000,0,0,256.346466,33.012512,166.00,9.00,-9.00,0,,,,,4803.00,80.00,0,,0.77,0.03,0,,0.75,0.04,0,,,,,,,,,-0.569,0.070,0,,,,,,62.60990,4.13162,-4.13162,11.153,0.583,-0.583,2010,3
164,HAT-P-19,b,Transit,1,4.00877800,0,0.00000600,-0.00000600,0.046600,0,0.000800,-0.000800,0.067000,0,0.042000,-0.042000,88.200,0,0.400,-0.400,0.29200,0,0.01800,-0.01800,1.132,0,0.072,-0.072,,,,,0,0,9.516742,34.711575,215.00,15.00,-15.00,0,,,,,4990.00,130.00,0,,0.84,0.04,0,,0.82,0.05,0,,,,,,,,,-0.432,0.085,0,,,,,,92.80250,5.72070,-5.72070,12.689,0.807,-0.807,2010,3
165,HAT-P-20,b,Transit,1,2.87531700,0,0.00000400,-0.00000400,0.036100,0,0.000500,-0.000500,0.015000,0,0.005000,-0.005000,86.800,0,0.200,-0.200,7.24600,0,0.18700,-0.18700,0.867,0,0.033,-0.033,13.78000,0,1.50000,-1.50000,0,0,111.916466,24.336630,70.00,3.00,-3.00,0,,,,,4595.00,80.00,0,,0.76,0.03,0,,0.69,0.02,0,,,,,,,,,-0.721,0.048,0,,,,,,2302.90000,59.43170,-59.43170,9.718,0.370,-0.370,2010,3
166,HAT-P-21,b,Transit,1,4.12448100,0,0.00000700,-0.00000700,0.049400,0,0.000700,-0.000700,0.228000,0,0.016000,-0.016000,87.200,0,0.700,-0.700,4.06300,0,0.16100,-0.16100,1.024,0,0.092,-0.092,4.68000,0,1.59000,-0.99000,0,0,171.274948,41.027954,254.00,19.00,-19.00,0,,,,,5588.00,80.00,0,,0.95,0.04,0,,1.10,0.08,0,,,,,,,,,0.025,0.075,0,,,,,,1291.29000,51.16850,-51.16850,11.478,1.031,-1.031,2010,3
167,HAT-P-22,b,Transit,1,3.21222000,0,0.00000900,-0.00000900,0.041400,0,0.000500,-0.000500,0.016000,0,0.009000,-0.009000,86.900,0,0.600,-0.500,2.14700,0,0.06100,-0.06100,1.080,0,0.058,-0.058,2.11000,0,0.40000,-0.29000,0,0,155.681717,50.128345,82.00,3.00,-3.00,0,,,,,5302.00,80.00,0,,0.92,0.04,0,,1.04,0.04,0,,HD 233731,,,,,,,-0.114,0.054,0,,,,,,682.35200,19.38680,-19.38680,12.106,0.650,-0.650,2010,3
168,HAT-P-23,b,Transit,1,1.21288400,0,0.00000200,-0.00000200,0.023200,0,0.000200,-0.000200,0.106000,0,0.044000,-0.044000,85.100,0,1.500,-1.500,2.09000,0,0.11100,-0.11100,1.368,0,0.090,-0.090,1.01000,0,0.18000,-0.18000,0,0,306.123840,16.762152,393.00,25.00,-25.00,0,,,,,5905.00,80.00,0,,1.13,0.04,0,,1.20,0.07,0,,,,,,,,,0.199,0.068,0,,,,,,664.23700,35.27760,-35.27760,15.334,1.009,-1.009,2010,3
169,HAT-P-24,b,Transit,1,3.35524000,0,0.00000700,-0.00000700,0.046500,0,0.000600,-0.000600,0.067000,0,0.024000,-0.024000,88.600,0,0.700,-0.700,0.68500,0,0.03300,-0.03300,1.242,0,0.067,-0.067,0.44000,0,0.07000,-0.07000,0,0,108.825058,14.262599,396.00,20.00,-20.00,0,,,,,6373.00,80.00,0,,1.19,0.04,0,,1.32,0.07,0,,,,,,,,,0.408,0.056,0,,,,,,217.70400,10.48790,-10.48790,13.922,0.751,-0.751,2010,3
170,HAT-P-25,b,Transit,1,3.65283600,0,0.00001900,-0.00001900,0.046600,0,0.000500,-0.000500,0.032000,0,0.022000,-0.022000,87.600,0,0.500,-0.500,0.56700,0,0.02200,-0.02200,1.190,0,0.081,-0.056,0.42000,0,0.07000,-0.07000,0,0,48.435417,25.197405,297.00,17.00,-13.00,0,,,,,5500.00,80.00,0,,1.01,0.03,0,,0.96,0.05,0,,,,,,,,,-0.125,0.062,0,,,,,,180.20200,6.99197,-6.99197,13.339,0.908,-0.628,2010,3
171,HAT-P-26,b,Transit,1,4.23451600,0,0.00001500,-0.00001500,0.047900,0,0.000600,-0.000600,0.124000,0,0.060000,-0.060000,88.600,0,0.500,-0.900,0.05900,0,0.00700,-0.00700,0.565,0,0.072,-0.032,0.40000,0,0.10000,-0.10000,0,0,213.156387,4.059997,134.00,18.00,-8.00,0,,,,,5079.00,88.00,0,,0.82,0.03,0,,0.79,0.10,0,,,,,,,,,-0.420,0.153,0,,,,,,18.75120,2.22472,-2.22472,6.333,0.807,-0.359,2010,3
172,HAT-P-27,b,Transit,1,3.03958600,0,0.00001200,-0.00001200,0.040300,0,0.000500,-0.000500,0.078000,0,0.047000,-0.047000,84.700,0,0.400,-0.700,0.66000,0,0.03300,-0.03300,1.038,0,0.077,-0.058,0.73000,0,0.13000,-0.13000,0,0,222.767441,5.947368,204.00,14.00,-14.00,0,,,,,5300.00,90.00,0,,0.94,0.04,0,,0.90,0.05,0,,,,,,,,,-0.244,0.064,0,,,,,,209.75900,10.48790,-10.48790,11.635,0.863,-0.650,2011,3
173,HAT-P-28,b,Transit,1,3.25721500,0,0.00000700,-0.00000700,0.043400,0,0.000700,-0.000700,0.051000,0,0.033000,-0.033000,88.000,0,0.900,-0.900,0.62600,0,0.03700,-0.03700,1.212,0,0.113,-0.082,0.44000,0,0.09000,-0.09000,0,0,13.000766,34.728413,395.00,34.00,-26.00,0,,,,,5680.00,90.00,0,,1.02,0.05,0,,1.10,0.09,0,,,,,,,,,0.053,0.080,0,,,,,,198.95300,11.75920,-11.75920,13.585,1.267,-0.919,2011,3
174,HAT-P-29,b,Transit,1,5.72318600,0,0.00004900,-0.00004900,0.066700,0,0.000800,-0.000800,0.095000,0,0.047000,-0.047000,87.100,0,0.500,-0.700,0.77800,0,0.07600,-0.04000,1.107,0,0.136,-0.082,0.71000,0,0.18000,-0.18000,0,0,33.131142,51.778759,322.00,35.00,-21.00,0,,,,,6087.00,88.00,0,,1.21,0.05,0,,1.22,0.13,0,,,,,,,,,0.265,0.099,0,,,,,,247.26100,24.15410,-12.71270,12.408,1.524,-0.919,2011,3
175,HAT-P-30,b,Transit,1,2.81059500,0,0.00000500,-0.00000500,0.041900,0,0.000500,-0.000500,0.035000,0,0.024000,-0.024000,83.600,0,0.400,-0.400,0.71100,0,0.02800,-0.02800,1.340,0,0.065,-0.065,0.37000,0,0.05000,-0.05000,0,0,123.949898,5.836719,193.00,8.00,-8.00,0,,,,,6304.00,88.00,0,,1.24,0.04,0,,1.22,0.05,0,,,,,,,,,0.312,0.054,0,,,,,,225.96800,8.89887,-8.89887,15.020,0.729,-0.729,2011,3
176,HAT-P-31,b,Transit,2,5.00542500,0,0.00009100,-0.00009200,0.055000,0,0.015000,-0.015000,0.245000,0,0.004500,-0.004500,87.100,0,1.800,-2.700,2.17100,0,0.10500,-0.07700,1.070,0,0.480,-0.320,2.18000,0,1.24000,-0.93000,0,0,271.537720,26.426662,354.00,74.00,-51.00,0,,,,,6065.00,100.00,0,,1.22,0.09,0,,1.36,0.27,0,,,,,,,,,0.348,0.162,0,,,,,,689.98000,33.37070,-24.47190,11.994,5.380,-3.587,2011,3
177,HAT-P-31,c,Radial Velocity,2,1022.00000000,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,271.537720,26.426662,354.00,74.00,-51.00,0,,,,,6065.00,100.00,0,,1.22,0.09,0,,1.36,0.27,0,,,,,,,,,0.348,0.162,0,,,,,,,,,,,,2011,3
178,HAT-P-32,b,Transit,1,2.15000800,0,0.00000100,-0.00000100,0.034300,0,0.000400,-0.000400,0.000000,0,0.000000,0.000000,88.900,0,0.400,-0.400,0.86000,0,0.16400,-0.16400,1.789,0,0.025,-0.025,0.19000,0,0.04000,-0.04000,0,0,31.042849,46.687836,283.00,5.00,-5.00,0,,,,,6207.00,88.00,0,,1.16,0.04,0,,1.22,0.02,0,,,,,,,,,0.294,0.034,0,,,,,,273.32200,52.12200,-52.12200,20.053,0.280,-0.280,2011,3
179,HAT-P-33,b,Transit,1,3.47447400,0,0.00000100,-0.00000100,0.049900,0,0.000500,-0.000500,0.000000,0,0.000000,0.000000,87.200,0,0.000,-0.100,0.76200,0,0.10100,-0.10100,1.686,0,0.045,-0.045,0.20000,0,0.03000,-0.03000,0,0,113.184212,33.835052,387.00,9.00,-9.00,0,,,,,6446.00,88.00,0,,1.38,0.04,0,,1.64,0.03,0,,,,,,,,,0.618,0.036,0,,,,,,242.17600,32.10000,-32.10000,18.898,0.504,-0.504,2011,3
180,HAT-P-34,b,Transit,1,5.45265400,0,0.00001600,-0.00001600,0.067700,0,0.000800,-0.000800,0.441000,0,0.032000,-0.032000,87.100,0,1.200,-1.200,3.32800,0,0.21100,-0.21100,1.197,0,0.128,-0.192,2.40000,0,0.63000,-0.63000,0,0,303.195343,18.104868,257.00,22.00,-17.00,0,,,,,6442.00,88.00,0,,1.39,0.05,0,,1.53,0.14,0,,HD 351766,,,,,,,0.560,0.082,0,,,,,,1057.70000,67.06000,-67.06000,13.417,1.435,-2.152,2011,3
181,HAT-P-35,b,Transit,1,3.64670600,0,0.00002100,-0.00002100,0.049800,0,0.000600,-0.000600,0.025000,0,0.018000,-0.018000,87.300,0,1.000,-1.000,1.05400,0,0.03300,-0.03300,1.332,0,0.098,-0.098,0.55000,0,0.11000,-0.11000,0,0,123.250763,4.787023,535.00,32.00,-32.00,0,,,,,6096.00,88.00,0,,1.24,0.05,0,,1.44,0.08,0,,,,,,,,,0.407,0.063,0,,,,,,334.98000,10.50000,-10.50000,14.930,1.100,-1.100,2011,3
182,HAT-P-36,b,Transit,1,1.32734700,0,0.00000300,-0.00000300,0.023800,0,0.000400,-0.000400,0.063000,0,0.032000,-0.032000,86.000,0,1.300,-1.300,1.83200,0,0.09900,-0.09900,1.264,0,0.071,-0.071,1.12000,0,0.19000,-0.19000,0,0,188.266251,44.915352,317.00,17.00,-17.00,0,,,,,5560.00,100.00,0,,1.02,0.05,0,,1.10,0.06,0,,,,,,,,,0.013,0.068,0,,,,,,582.24000,31.50000,-31.50000,14.168,0.796,-0.796,2011,3
183,HAT-P-37,b,Transit,1,2.79743600,0,0.00000700,-0.00000700,0.037900,0,0.000600,-0.000600,0.058000,0,0.038000,-0.038000,86.900,0,0.400,-0.500,1.16900,0,0.10300,-0.10300,1.178,0,0.077,-0.077,0.89000,0,0.19000,-0.19000,0,0,284.296051,51.269138,411.00,26.00,-26.00,0,,,,,5500.00,100.00,0,,0.93,0.04,0,,0.88,0.06,0,,,,,,,,,-0.208,0.071,0,,,,,,371.53000,32.74000,-32.74000,13.204,0.863,-0.863,2011,3
184,HAT-P-38,b,Transit,1,4.64038200,0,0.00003200,-0.00003200,0.052300,0,0.000900,-0.000900,0.067000,0,0.047000,-0.047000,88.300,0,0.700,-0.700,0.26700,0,0.02000,-0.02000,0.825,0,0.092,-0.063,0.59000,0,0.16000,-0.16000,0,0,35.383232,32.246151,249.00,26.00,-19.00,0,,,,,5330.00,100.00,0,,0.89,0.04,0,,0.92,0.10,0,,,,,,,,,-0.208,0.100,0,,,,,,84.85700,6.35600,-6.35600,9.247,1.031,-0.706,2012,3
185,HAT-P-39,b,Transit,1,3.54387000,0,0.00000500,-0.00000500,0.050900,0,0.000600,-0.000600,0.000000,0,,,87.000,0,1.000,-1.000,0.59900,0,0.09900,-0.09900,1.571,0,0.108,-0.081,0.19000,0,0.04000,-0.04000,0,0,113.758247,17.830082,642.00,29.00,-29.00,0,,,,,6430.00,100.00,0,,1.40,0.05,0,,1.62,0.08,0,,,,,,,,,0.607,0.055,0,,,,,,190.37200,31.46400,-31.46400,17.609,1.211,-0.908,2012,3
186,HAT-P-40,b,Transit,1,4.45724300,0,0.00001000,-0.00001000,0.060800,0,0.000600,-0.001500,0.000000,0,,,88.300,0,0.900,-0.900,0.61500,0,0.03800,-0.03800,1.730,0,0.062,-0.062,0.15000,0,0.01000,-0.01000,0,0,335.512848,45.457378,501.00,16.00,-16.00,0,,,,,6080.00,100.00,0,,1.51,0.11,0,,2.21,0.06,0,,,,,,,,,0.778,0.047,0,,,,,,195.45700,12.07700,-12.07700,19.392,0.695,-0.695,2012,3
187,HAT-P-41,b,Transit,1,2.69404700,0,0.00000400,-0.00000400,0.042600,0,0.000500,-0.000500,0.000000,0,,,87.700,0,1.000,-1.000,0.80000,0,0.10200,-0.10200,1.685,0,0.076,-0.051,0.20000,0,0.03000,-0.03000,0,0,297.322662,4.672421,344.00,12.00,-8.00,0,,,,,6390.00,100.00,0,,1.42,0.05,0,,1.68,0.06,0,,,,,,,,,0.628,0.044,0,,,,,,254.25300,32.41700,-32.41700,18.887,0.852,-0.572,2012,3
188,HATS-1,b,Transit,1,3.44645900,0,0.00000400,-0.00000400,0.044400,0,0.000800,-0.000800,0.120000,0,0.092000,-0.092000,85.600,0,0.600,-1.400,1.85500,0,0.26200,-0.19600,1.302,0,0.162,-0.098,1.03000,0,0.25000,-0.25000,0,0,175.525330,-23.354836,303.00,38.00,-23.00,0,,,,,5870.00,100.00,0,,0.99,0.05,0,,1.04,0.13,0,,,,,,,,,0.041,0.114,0,,,,,,589.55000,83.26800,-62.29210,14.594,1.816,-1.098,2012,3
189,HD 142,b,Radial Velocity,2,349.70000000,0,1.20000000,-1.20000000,1.020000,0,0.030000,-0.030000,0.170000,0,0.060000,-0.060000,,,,,,,,,,,,,,,,,0,0,1.579898,-49.075191,25.70,0.30,-0.30,0,5.700,,0,1,6403.00,65.00,0,,1.23,0.22,0,,1.47,0.04,0,,HD 142,HIP 522,3.70,F7 V,,0,1,,,,,,,,,,,,,,,2001,3
190,HD 142,c,Radial Velocity,2,6005.00000000,0,477.00000000,-477.00000000,6.800000,0,0.500000,-0.500000,0.210000,0,0.070000,-0.070000,,,,,,,,,,,,,,,,,0,0,1.579898,-49.075191,25.70,0.30,-0.30,0,5.700,,0,1,6403.00,65.00,0,,1.23,0.22,0,,1.47,0.04,0,,HD 142,HIP 522,3.70,F7 V,,0,1,,,,,,,,,,,,,,,2012,3
191,HD 1461,b,Radial Velocity,2,5.77270000,0,0.00250000,-0.00250000,0.063438,0,0.000018,-0.000018,0.140000,0,0.190000,-0.190000,,,,,,,,,,,,,,,,,0,0,4.674448,-8.053001,23.40,0.50,-0.50,0,6.460,,0,0,5765.00,18.00,0,,1.02,0.10,0,,1.11,0.04,0,,HD 1461,HIP 1499,4.50,G5 V,,0,0,0.075,0.006,0,,,,,,,,,,,,2009,3
192,HD 1461,c,Radial Velocity,2,13.50500000,,,,0.111700,,,,0.000000,,,,,,,,,,,,,,,,,,,,0,0,4.674448,-8.053001,23.40,0.50,-0.50,0,6.460,,0,0,5765.00,18.00,0,,1.02,0.10,0,,1.11,0.04,0,,HD 1461,HIP 1499,4.50,G5 V,,0,0,0.075,0.006,0,,,,,,,,,,,,2011,3
193,HD 1502,b,Radial Velocity,1,431.80000000,,,,1.310000,,,,0.101000,,,,,,,,,,,,,,,,,,,,0,0,4.821110,14.054755,167.50,25.26,-36.16,0,8.342,0.014,0,0,,,,,,,,,,,,,HD 1502,HIP 1547,5.00,K0,,0,0,,,,,,,,,,,,,,,2011,3
194,HD 1690,b,Radial Velocity,1,533.00000000,0,1.70000000,-1.70000000,1.300000,0,0.020000,-0.020000,0.640000,0,0.040000,-0.040000,,,,,,,,,,,,,,,,,0,0,5.305497,-8.281169,7.01,,,-1,9.173,0.021,0,0,,,,,,,,,,,,,HD 1690,HIP 1692,5.10,K1 (III),,0,0,,,,,,,,,,,,,,,2010,3
195,HD 2039,b,Radial Velocity,1,1183.00000000,0,150.00000000,-150.00000000,2.200000,0,0.200000,-0.200000,0.670000,0,0.100000,-0.100000,,,,,,,,,,,,,,,,,0,0,6.084491,-56.650047,89.85,8.28,-10.15,0,8.987,0.015,0,0,,,,,,,,,,,,,HD 2039,HIP 1931,4.25,G2/3 IV/V,,0,0,,,,,,,,,,,,,,,2002,3
196,HD 2638,b,Radial Velocity,1,3.44420000,0,0.00020000,-0.00020000,0.044000,0,,,0.000000,0,,,,,,,,,,,,,,,,,,,0,0,7.499466,-5.764002,53.71,3.63,-4.20,0,9.375,0.023,0,0,,,,,,,,,,,,,HD 2638,HIP 2350,5.10,K1 V,,0,0,,,,,,,,,,,,,,,2005,3
197,HD 2952,b,Radial Velocity,1,311.60000000,0,1.70000000,-1.90000000,1.200000,0,,,0.129000,0,0.099000,-0.085000,,,,,,,,,,,,,,,,,0,0,8.293311,54.894985,,,,,5.922,0.009,0,0,4844.00,20.00,0,0,2.54,0.12,0,0,12.02,1.16,0,0,HD 2952,HIP 2611,5.00,K0 III,,0,0,1.850,,0,0,,,,,,,,,,,2013,3
198,HD 3651,b,Radial Velocity,1,62.21800000,0,0.01500000,-0.01500000,0.295000,0,0.003000,-0.003000,0.596000,0,0.036000,-0.036000,,,,,,,,,,,,,,,,,0,0,9.840858,21.250473,11.11,0.09,-0.09,0,5.860,,0,0,,,,,,,,,,,,,HD 3651,HIP 3093,5.00,K0 V,,0,0,,,,,,,,,,,,,,,2003,3
199,HD 4113,b,Radial Velocity,1,526.62000000,0,0.30000000,-0.30000000,1.280000,0,,,0.903000,0,0.005000,-0.005000,,,,,,,,,,,,,,,,,0,0,10.802486,-37.982632,44.05,1.84,-2.01,0,7.881,0.012,0,0,,,,,,,,,,,,,HD 4113,HIP 3391,4.50,G5 V,,0,0,,,,,,,,,,,,,,,2007,3
200,HD 4208,b,Radial Velocity,1,829.00000000,0,36.00000000,-36.00000000,1.700000,0,,,0.040000,0,0.120000,-0.120000,,,,,,,,,,,,,,,,,0,0,11.111043,-26.515680,32.70,1.12,-1.20,0,7.783,0.012,0,0,,,,,,,,,,,,,HD 4208,HIP 3479,4.50,G5 V,,0,0,,,,,,,,,,,,,,,2001,3
201,HD 4308,b,Radial Velocity,1,15.60900000,0,0.00700000,-0.00700000,0.118000,0,0.009000,-0.009000,0.270000,0,0.120000,-0.120000,,,,,,,,,,,,,,,,,0,0,11.163615,-65.649521,21.85,0.26,-0.27,0,6.560,,0,0,,,,,,,,,,,,,HD 4308,HIP 3497,4.50,G5 V,,0,0,,,,,,,,,,,,,,,2005,3
202,HD 4203,b,Radial Velocity,1,431.88000000,0,0.85000000,-0.85000000,1.164000,0,0.067000,-0.067000,0.519000,0,0.027000,-0.027000,,,,,,,,,,,,,,,,,0,0,11.171676,20.448927,77.82,7.00,-8.53,0,8.687,0.017,0,0,,,,,,,,,,,,,HD 4203,HIP 3502,4.50,G5,,0,0,,,,,,,,,,,,,,,2001,3
203,HD 4313,b,Radial Velocity,1,356.00000000,0,2.60000000,-2.60000000,1.190000,0,0.030000,-0.030000,0.041000,0,0.037000,-0.037000,,,,,,,,,,,,,,,,,0,0,11.418160,7.845021,131.41,14.45,-18.52,0,7.822,0.013,0,0,,,,,,,,,,,,,HD 4313,HIP 3574,4.50,G5,,0,0,,,,,,,,,,,,,,,2009,3
204,HD 4732,b,Radial Velocity,2,360.20000000,0,1.40000000,-1.40000000,1.190000,0,0.050000,-0.050000,0.130000,0,0.060000,-0.060000,,,,,,,,,,,,,,,,,0,0,12.308117,-24.136671,56.50,3.20,-3.20,0,5.890,0.009,0,0,4959.00,25.00,0,0,1.74,0.20,0,0,5.40,0.40,0,0,HD 4732,HIP 3834,5.00,K0 IV,,0,0,1.190,,0,0,,,,,,,,,,,2012,3
205,HD 4732,c,Radial Velocity,2,2732.00000000,0,81.00000000,-81.00000000,4.600000,0,0.230000,-0.230000,0.230000,0,0.070000,-0.070000,,,,,,,,,,,,,,,,,0,0,12.308117,-24.136671,56.50,3.20,-3.20,0,5.890,0.009,0,0,4959.00,25.00,0,0,1.74,0.20,0,0,5.40,0.40,0,0,HD 4732,HIP 3834,5.00,K0 IV,,0,0,1.190,,0,0,,,,,,,,,,,2012,3
206,HD 5319,b,Radial Velocity,1,675.00000000,0,17.00000000,-17.00000000,1.750000,0,,,0.120000,0,0.080000,-0.080000,,,,,,,,,,,,,,,,,0,0,13.755836,0.789553,100.00,9.17,-11.23,0,8.047,0.013,0,0,,,,,,,,,,,,,HD 5319,HIP 4297,5.00,K0 III,,0,0,,,,,,,,,,,,,,,2007,3
207,HD 5388,b,Radial Velocity,1,777.00000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,13.799541,-47.405964,53.28,2.59,-2.87,0,6.722,0.010,0,0,,,,,,,,,,,,,HD 5388,HIP 4311,3.60,F6 V,,0,0,,,,,,,,,,,,,,,2009,3
208,HD 5608,b,Radial Velocity,1,792.60000000,0,7.70000000,-7.70000000,1.900000,0,,,0.190000,0,0.061000,-0.061000,,,,,1.40000,0,,,,,,,,,,,0,0,14.559246,33.950886,58.20,2.70,-3.00,0,5.980,0.010,0,0,4854.00,25.00,0,,1.55,0.23,0,,5.50,0.40,0,,HD 5608,HIP 4552,5.00,K0,,0,0,1.179,,0,,,,,,444.94300,,,,,,2012,3
209,HD 5891,b,Radial Velocity,1,177.11000000,,,,0.760000,,,,0.066000,,,,,,,,,,,,,,,,,,,,0,0,15.138300,20.292484,150.60,23.21,-33.56,0,8.114,0.014,0,0,,,,,,,,,,,,,HD 5891,HIP 4715,4.50,G5,,0,0,,,,,,,,,,,,,,,2011,3
210,HD 6434,b,Radial Velocity,1,22.09000000,0,,,0.150000,0,,,0.300000,0,0.150000,-0.150000,,,,,,,,,,,,,,,,,0,0,16.167295,-39.488216,40.32,1.40,-1.50,0,7.730,0.011,0,0,,,,,,,,,,,,,HD 6434,HIP 5054,4.25,G2/3 V,,0,0,,,,,,,,,,,,,,,2003,3
211,HD 6718,b,Radial Velocity,1,2496.00000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,16.952761,-8.233706,55.01,2.76,-3.07,0,8.450,0.014,0,0,,,,,,,,,,,,,HD 6718,HIP 5301,4.50,G5 V,,0,0,,,,,,,,,,,,,,,2009,3
212,HD 7199,b,Radial Velocity,1,615.00000000,0,7.00000000,-7.00000000,1.360000,0,0.020000,-0.020000,0.190000,0,0.190000,-0.130000,,,,,,,,,,,,,,,,,0,0,17.696762,-66.188164,35.88,0.87,-0.91,0,8.027,0.011,0,0,,,,,,,,,,,,,HD 7199,HIP 5529,5.00,K0 IV/V,,0,0,,,,,,,,,,,,,,,2011,3
213,HD 7449,b,Radial Velocity,2,1275.00000000,0,15.00000000,-11.00000000,2.300000,0,0.040000,-0.040000,0.820000,0,0.060000,-0.060000,,,,,,,,,,,,,,,,,0,0,18.622173,-5.047387,38.52,1.11,-1.18,0,7.483,0.011,0,0,,,,,,,,,,,,,HD 7449,HIP 5806,4.00,G0 V,,0,0,,,,,,,,,,,,,,,2011,3
214,HD 7449,c,Radial Velocity,2,4046.00000000,0,186.00000000,-366.00000000,4.960000,0,0.200000,-0.300000,0.530000,0,0.080000,-0.080000,,,,,,,,,,,,,,,,,0,0,18.622173,-5.047387,38.52,1.11,-1.18,0,7.483,0.011,0,0,,,,,,,,,,,,,HD 7449,HIP 5806,4.00,G0 V,,0,0,,,,,,,,,,,,,,,2011,3
215,HD 7924,b,Radial Velocity,1,5.39780000,0,0.00150000,-0.00150000,0.057000,0,,,0.170000,0,0.160000,-0.160000,,,,,,,,,,,,,,,,,0,0,20.496313,76.710281,16.82,0.17,-0.17,0,7.167,0.010,0,0,,,,,,,,,,,,,HD 7924,HIP 6379,5.00,K0,,0,0,,,,,,,,,,,,,,,2008,3
216,HD 8535,b,Radial Velocity,1,1313.00000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20.905149,-41.269802,56.34,2.55,-2.80,0,7.686,0.010,0,0,,,,,,,,,,,,,HD 8535,HIP 6511,4.00,G0 V,,0,0,,,,,,,,,,,,,,,2010,3
